"id","vehicle_manufacturer_id","name","created_at","updated_at","vehicle_type_id","seats","doors"
186,22,"RANGE ROVER EVOQUE","2019-01-28 02:53:39.358441","2019-01-28 02:53:39.358441",6,5,4
187,23,"IS","2019-01-28 02:53:39.387039","2019-01-28 02:53:39.387039",1,5,4
188,23,"NX","2019-01-28 02:53:39.410827","2019-01-28 02:53:39.410827",6,5,4
189,23,"RX","2019-01-28 02:53:39.433966","2019-01-28 02:53:39.433966",6,7,4
190,23,"RC-F","2019-01-28 02:53:39.461032","2019-01-28 02:53:39.461032",3,4,2
191,23,"LS","2019-01-28 02:53:39.486244","2019-01-28 02:53:39.486244",1,5,4
192,23,"LX","2019-01-28 02:53:39.510045","2019-01-28 02:53:39.510045",6,8,4
194,24,"PANAMERA","2019-01-28 02:53:39.564297","2019-01-28 02:53:39.564297",3,5,4
195,24,"911","2019-01-28 02:53:39.587716","2019-01-28 02:53:39.587716",3,4,2
198,24,"911 GT-3","2019-01-28 02:53:39.661243","2019-01-28 02:53:39.661243",3,4,2
199,24,"MACAN","2019-01-28 02:53:39.684544","2019-01-28 02:53:39.684544",6,5,4
200,24,"CAYENNE","2019-01-28 02:53:39.708051","2019-01-28 02:53:39.708051",6,5,4
201,25,"XV","2019-01-28 02:53:39.738225","2019-01-28 02:53:39.738225",6,5,4
202,25,"FORESTER","2019-01-28 02:53:39.762459","2019-01-28 02:53:39.762459",6,5,4
203,25,"LEVORG","2019-01-28 02:53:39.786064","2019-01-28 02:53:39.786064",8,5,4
204,25,"WRX","2019-01-28 02:53:39.810193","2019-01-28 02:53:39.810193",1,5,4
205,25,"OUTBACK","2019-01-28 02:53:39.834921","2019-01-28 02:53:39.834921",6,5,4
214,27,"V40","2019-01-28 02:53:40.119124","2019-01-28 02:53:40.119124",4,5,4
215,27,"XC60","2019-01-28 02:53:40.145762","2019-01-28 02:53:40.145762",6,5,4
216,27,"S90","2019-01-28 02:53:40.169707","2019-01-28 02:53:40.169707",1,5,4
217,27,"XC90","2019-01-28 02:53:40.19571","2019-01-28 02:53:40.19571",6,7,4
218,27,"V90","2019-01-28 02:53:40.231156","2019-01-28 02:53:40.231156",4,5,4
219,27,"S60","2019-01-28 02:53:40.255336","2019-01-28 02:53:40.255336",1,5,4
220,27,"XC40","2019-01-28 02:53:40.279341","2019-01-28 02:53:40.279341",6,5,4
224,6,"S5","2019-01-28 02:53:40.38598","2019-01-28 02:53:40.38598",3,4,4
